titre;date;heure_debut;heure_fin;lieu;description
Accueil des participants;2026-06-15;09:00;10:00;Hall d'entrée;Accueil café et remise des badges
Séance plénière d'ouverture;2026-06-15;10:00;12:00;Amphithéâtre;Discours d'ouverture et présentation du programme
Déjeuner;2026-06-15;12:00;14:00;Restaurant universitaire;Repas buffet
Ateliers thématiques;2026-06-15;14:00;17:00;Salles de TD;Sessions de travail en petits groupes
Dîner de gala;2026-06-15;19:30;23:00;Salle des fêtes;Soirée de gala avec animation musicale
Petit-déjeuner réseau;2026-06-16;08:30;09:30;Hall d'entrée;Café et viennoiseries pour échanger
Conférence inspirante;2026-06-16;09:30;12:00;Amphithéâtre;Intervention d'un expert sur l'innovation
Déjeuner;2026-06-16;12:00;14:00;Restaurant universitaire;Repas assis
Quartier libre et activités;2026-06-16;14:00;18:00;En extérieur;Temps libre pour participer aux activités sur inscription
Dîner libre;2026-06-16;19:00;22:00;Centre-ville;Dîner libre dans les restaurants de la ville
Ateliers de restitution;2026-06-17;09:00;11:00;Amphithéâtre;Présentation des travaux de groupe de la veille
Séance plénière de clôture;2026-06-17;11:00;12:00;Amphithéâtre;Bilan de l'événement et discours de fin
Déjeuner d'au revoir;2026-06-17;12:00;14:00;Restaurant universitaire;Buffet de départ
